Doctor Identifier,Provider Type,Number of Beneficiaries,Services by Beneficiary,Total Submitted Charge Amount By Benificiary,Total Allowed Amount By Benificiary,Total Payment Amount By Benificiary,Total Standardized Payment Amount By Benificiary,Number of Drug Services By Benificiary,Total Drug Submitted Charge Amount By Benificiary,Total Drug Allowed Amount  By Benificiary,Total Drug Payment Amount  By Benificiary,Total Drug Standardized Payment Amount By Benificiary,Number of Medical Services,Percent Atrial Fibrillation,Percent Alzheimerâ€™s Disease or Dementia ,Percent Asthma ,Percent Cancer ,Percent Heart Failure ,Percent Chronic Kidney Disease,Percent Chronic Obstructive Pulmonary Disease,Percent Depression ,Percent Diabetes ,Percent Hyperlipidemia ,Percent Hypertension ,Percent Ischemic Heart Disease ,Percent Osteoporosis ,Percent Rheumatoid Arthritis or Osteoarthritis ,Percent Schizophrenia or Other Psychotic Disorders ,Percent Stroke ,Average HCC Risk Score of Beneficiaries 
933186891,CRNA,63,7.476190476,1046.539683,458.6909524,344.7849206,341.3577778,0,0,0,0,0,471,0.84,0.89,19,0.65,1.28,19,21,73,29,43,48,1.85,0.5,33,33,0.39,1.61
792931829,Neurosurgery,274,8.120437956,1930.211679,642.1810219,489.479635,476.8150365,0,0,0,0,0,2225,12,9,13,75,17,31,18,21,30,59,72,39,5,34,2.13,7,1.55
707233569,Orthopedic Surgery,375,1.181333333,926.4229333,141.4681333,111.8102667,111.2821067,0,0,0,0,0,443,14,13,15,15,21,27,19,37,24,59,73,35,11,47,11,5,1.41
307736204,Internal Medicine,485,2.078350515,1459.880412,334.765299,256.2222268,251.8593608,0,0,0,0,0,1008,17,10,18,16,24,38,21,34,35,63,75,39,14,38,5,5,1.73
700956040,Licensed Clinical Social Worker,1458,2.032921811,262.7626886,119.6024211,85.96397805,84.47596022,0,0,0,0,0,2964,33,18,17,12,38,34,19,31,30,60,75,49,8,41,6,11,1.68
555574243,Nurse Practitioner,197,1.040609137,569.6103046,103.6843655,82.92492386,82.30426396,0,0,0,0,0,205,17,12,12,14,13,24,8,29,23,51,67,28,6,39,7,0.34,1.07
263999175,Anesthesiology,43,2.255813953,546.8139535,192.2802326,146.91,141.9104651,0,0,0,0,0,97,0.3,0.27,0.29,0.24,0.43,26,0.33,56,40,42,63,0.66,0.18,37,0.14,0.13,1.25
610798203,Neurology,1353,2.148558758,942.772269,337.7861641,241.0073319,234.4035477,0,0,0,0,0,2907,11,8,10,10,13,22,10,17,26,53,65,28,10,41,1,4,1.09
486325975,Psychiatry,49,1.571428571,220.9591837,75.87,51.17428571,49.40285714,0,0,0,0,0,77,0.26,0.22,0.26,0.21,0.37,0.49,0.29,22,22,37,67,24,0.16,37,0.11,0.11,1.24
263890366,Emergency Medicine,180,1.622222222,449.3055556,256.3519444,174.5896111,172.1411667,0,0,0,0,0,292,17,31,12,13,23,30,14,43,26,62,67,32,13,41,13,22,1.46
183311807,Ophthalmology,212,3.481132075,963.2735849,316.434717,256.8059434,243.7073585,0.5,66.25,53.20584906,51.98330189,51.98330189,632,14,9,17,12,22,24,17,36,31,40,69,39,7,30,9,7,1.86
231549802,CRNA,233,1.519313305,210.7381974,94.4151073,68.38111588,67.96223176,0.060085837,2.360515021,1.587682403,1.451545064,1.451545064,340,15,10,16,12,15,18,15,28,23,54,64,27,10,36,0.67,0.64,1.08
493910894,Optometry,460,1.55,403.0934783,136.3176957,103.658913,99.2851087,0,0,0,0,0,713,11,13,10,10,12,19,8,22,22,47,63,30,14,36,3,5,1.13
815329225,Orthopedic Surgery,744,7.810483871,3193.931452,1627.058199,1250.012823,1201.741022,2.478494624,1295.268817,963.4897446,754.6512097,754.6512097,3967,14,10,8,12,16,23,12,18,32,59,68,31,9,31,3,7,1.25
966773639,Dermatology,200,5.775,663.65,491.84385,344.7849,349.0939,0,0,0,0,0,1155,3.8,7,18,2.82,5.8,10,20,63,33,45,46,11,2.21,21,35,1.79,1.29
817056695,Optometry,331,1.151057402,479.0305438,148.3806647,110.4616314,113.0077946,0,0,0,0,0,381,13,14,26,10,23,32,25,41,27,58,63,33,8,38,12,7,1.51
234264248,Nurse Practitioner,409,1.124694377,470.2396088,134.834401,104.4146944,103.0271394,0,0,0,0,0,460,23,18,23,14,39,45,26,46,35,54,75,51,14,42,17,12,2.22
678464429,Endocrinology,545,1.555963303,1300.581853,450.1069908,344.2067706,336.8180367,0,0,0,0,0,848,16,7,15,11,15,25,13,27,28,59,70,31,11,75,3,6,1.31
169907556,Emergency Medicine,112,2.258928571,346.3839286,140.0871429,99.39401786,107.8839286,0.348214286,27.5,15.27089286,14.93875,14.93875,214,1.32,1.2,13,11,15,20,11,27,21,46,60,27,0.87,29,0.62,0.54,1.17
350315806,CRNA,69,1.347826087,117.884058,64.97289855,44.05202899,43.02304348,0,0,0,0,0,93,0.33,0.3,0.33,0.27,16,0.63,0.38,0.65,0.62,1.15,1.35,17,0.2,0.82,0.16,0.15,1.52
873826703,Neurology,180,3.061111111,1477.007778,567.4971667,441.3431111,433.8465556,0,0,0,0,0,551,13,23,26,13,33,56,22,51,47,52,75,47,10,37,12,19,2.31
646413900,Emergency Medicine,31,7.548387097,946.1290323,620.5219355,475.3216129,469.4245161,0,0,0,0,0,234,0.59,0.63,0.59,0.45,0.89,1.13,0.68,75,1.1,68,65,1.28,0.34,45,0.35,0.27,1.34
925723463,Licensed Clinical Social Worker,51,1.117647059,113.9215686,42.12862745,31.78705882,29.77764706,0,0,0,0,0,57,0.21,0.17,0.21,0.18,0.3,24,0.23,0.39,27,63,63,31,0.13,0.53,0.08,0.09,1.46
822143189,Anesthesiology,375,7.077333333,1126.472,404.3686667,310.2465333,316.6258933,0,0,0,0,0,2654,23,15,15,13,33,46,19,33,49,62,75,46,10,45,7,6,2.31
615905226,Physician Assistant,185,6.259459459,573.4,264.5429189,211.7038919,217.6127568,0,0,0,0,0,1158,1.55,8,26,1.14,8,19,16,75,22,39,48,23,0.9,24,56,0.73,1.46
461558088,Neurology,14,2.071428571,366.2142857,215.8642857,129.6692857,101.78,0,0,0,0,0,29,0.13,0,0,0,0.18,0,0,0,0.25,0.49,0.57,0.3,0,0.35,0,0.06,0.64
764598052,Gastroenterology,91,1.307692308,127.321978,70.33571429,47.20208791,47.47736264,0,0,0,0,0,119,0.49,0.44,15,0.39,19,29,19,36,38,37,68,27,0.29,30,0.24,0.22,1.21
937024260,Neurology,90,8.577777778,557.5555556,253.704,183.9511111,176.4701111,0,0,0,0,0,772,0.79,0.75,0.77,19,1.15,1.49,0.88,17,1.47,37,53,1.74,0.48,75,0,0.35,0.73
957326897,General Surgery,17,1.470588235,541.6470588,218.0994118,170.9923529,165.3541176,0,0,0,0,0,25,0.13,0.12,0.13,0.11,0.2,75,0.15,0.26,65,65,75,71,0,0.33,0.07,0.06,3.36
996252898,Cardiology,26,12.38461538,821.5384615,507.7738462,373.2119231,360.6234615,0,0,0,0,0,322,0.4,0.42,0,0.32,0.6,0,0.46,0.84,0.76,1.38,42,0.89,0.24,46,0,0.19,0.75
178241407,Nurse Practitioner,441,2.154195011,625.6984127,173.830907,134.2959184,131.6544898,0,0,0,0,0,950,15,11,43,12,42,42,59,39,33,48,69,46,17,39,6,6,2.3
680899538,Centralized Flu,267,1.786516854,1913.191948,358.3270787,279.0007491,277.8588764,0,0,0,0,0,477,13,5,9,18,14,16,6,23,26,48,62,27,10,48,0.78,0.7,1.53
531866944,Internal Medicine,45,11.51111111,3124.866667,1063.877556,669.2331111,791.6131111,0,0,0,0,0,518,2.02,2.61,2.18,1.28,3.28,4.01,2.55,40,24,47,64,4.28,1.12,71,0,1,1.39
290327095,Internal Medicine,98,2.948979592,703.6836735,247.1393878,184.4045918,180.2767347,0,0,0,0,0,289,19,17,23,0.61,36,57,23,60,48,49,67,45,0.46,46,20,16,2.76
804271074,Family Practice,1831,14.48771163,1139.483719,534.7330093,431.9955106,425.9613435,0.190060076,3.222282906,1.766766794,1.675696341,1.675696341,26179,15,7,11,12,15,22,10,22,23,75,75,33,12,38,3,4,1.15
828369853,Internal Medicine,134,5.78358209,782.1620896,327.9270896,262.5573881,256.2438806,0.671641791,107.0053731,53.17820896,52.00261194,52.00261194,685,17,9,8,12,15,19,13,31,32,69,58,30,2.22,37,8,8,1.28
676341645,Centralized Flu,88,1.284090909,128.4090909,27.13284091,21.26465909,19.16,0,0,0,0,0,113,16,0.22,16,38,27,25,17,32,39,67,73,49,0.2,40,0.1,0.13,2.34
546371934,Podiatry,842,4.010688836,4932.244656,616.5621615,475.367304,472.0279216,0.42280285,5.154394299,0.855570071,0.65476247,0.65476247,3021,11,11,19,11,19,25,24,38,31,62,69,30,13,70,6,7,1.42
626205145,Internal Medicine,863,3.517960603,1717.322132,520.9188065,389.5075782,363.218343,0.274623407,167.207416,56.84639629,43.8395365,43.8395365,2799,17,7,8,28,14,30,9,18,29,56,66,35,3,33,5,3,1.21
619347014,Orthopedic Surgery,37,10.18918919,1384.738919,571.4059459,447.9894595,462.6235135,0,0,0,0,0,377,0.57,0.67,0.59,0.41,32,32,0.69,54,35,62,75,54,0.33,51,0.39,0.28,2.36
962592713,Internal Medicine,15,1.133333333,445.9333333,141.2246667,110.718,112.2813333,0,0,0,0,0,17,0,0,0.09,0,0.13,0.17,0.1,0.18,0.17,0.3,0.36,0.2,0.05,0.22,0,0,0.84
371330670,Radiation Oncology,532,4.859022556,599.7142857,246.1539662,175.5427632,173.8012218,0.140977444,9.231203008,6.48287594,6.274360902,6.274360902,2510,43,9,17,9,29,26,23,30,39,75,75,45,8,40,5,9,1.6
154482209,Nurse Practitioner,54,11.46296296,403.3333333,377.3848148,276.7651852,276.2003704,0,0,0,0,0,619,0.75,0.81,0.75,0.57,1.14,1.45,0.87,20,22,61,61,1.64,0,46,0.45,0.35,1.1
402843677,Optometry,236,5.453389831,164.0732203,132.6869492,89.64114407,86.78377119,0,0,0,0,0,1287,11,6,6,13,10,15,6,12,23,26,51,17,5,28,0.84,5,0.91
757206658,Nurse Practitioner,18,17.27777778,1578.333333,1127.395556,845.9777778,836.7316667,0,0,0,0,0,311,0,0.66,0.59,0.45,0.91,1.15,0.7,72,1.11,72,72,1.3,0.34,1.41,0,0.28,1.27
679102189,Physician Assistant,387,1.095607235,482.6382429,150.6546512,114.4110853,114.0644186,0,0,0,0,0,424,18,20,27,15,33,47,20,47,34,55,75,47,12,44,18,10,2.13
312194537,Internal Medicine,951,6.043112513,496.8759201,240.9613039,181.3805468,180.9833649,0.259726604,12.88012618,7.485415352,7.079821241,7.079821241,5500,9,9,21,6,13,25,11,34,28,45,55,20,5,40,5,5,1.22
270575625,Diagnostic Radiology,409,1.105134474,992.1550122,135.4375795,105.6354034,107.0438875,0,0,0,0,0,452,22,11,22,19,27,33,24,39,39,74,75,41,13,46,6,7,1.51
797126364,Nurse Practitioner,294,1.761904762,782.0510204,223.9706463,175.0913946,178.0530272,0,0,0,0,0,518,12,11,26,10,28,43,17,49,40,50,69,31,9,35,6,8,1.99
730184004,Gastroenterology,129,2.550387597,594.0077519,107.805814,79.90372093,78.05620155,0,0,0,0,0,329,9,10,19,25,24,43,19,25,37,56,72,41,13,43,0.19,0.21,2.05
935145410,Mass Immunization Roster Biller,769,1.366710013,463.5214564,191.7723147,142.0787646,141.759961,0,0,0,0,0,1051,20,29,22,13,28,34,25,50,37,69,75,43,10,46,22,31,1.88
998477122,Chiropractic,54,2,554.4740741,208.1998148,152.1198148,148.7994444,0,0,0,0,0,108,0.41,0.39,0.41,0.33,0.61,0.79,0.47,59,22,37,33,0.91,0.25,43,0.21,0.19,1.01
771304319,Optometry,351,4.621082621,954.2336182,395.051339,316.5491453,304.457094,0.951566952,158.9487179,84.84737892,83.01384615,83.0205698,1288,11,5,8,9,6,20,7,21,25,57,61,18,5,32,5,4,0.99
192532922,Nurse Practitioner,1690,1.381065089,429.7804734,87.11376331,66.29356805,66.77584024,0,0,0,0,0,2334,20,26,18,14,28,42,21,46,35,63,75,47,11,49,13,26,1.94
248470388,Chiropractic,283,9.208480565,382.4275618,315.0273498,268.1737102,261.0265724,0.540636042,59.44169611,48.66985866,47.68017668,47.68017668,2453,9,5,13,9,13,25,11,29,31,48,52,23,6,25,5,5,1.21
117593331,Diagnostic Radiology,150,2.393333333,91.72666667,27.73853333,25.47946667,25.5812,0.16,10.63333333,9.481666667,9.201,9.201,335,0.77,0.55,15,9,11,27,11,45,63,47,62,15,0.55,19,14,0.28,1.52
860885947,CRNA,102,2.87254902,292.754902,216.5928431,166.0116667,186.1734314,0,0,0,0,0,293,19,57,18,14,46,47,23,49,29,57,75,42,25,41,25,13,1.93
131674583,Anesthesiology,175,1.914285714,194.4571429,133.1784,84.2876,101.9971429,0,0,0,0,0,335,1.65,1.88,18,1.15,2.57,14,17,65,25,42,41,16,0.95,26,38,0.79,1.34
144416200,Otolaryngology,24,2.625,341.125,199.6616667,135.2604167,135.23625,0,0,0,0,0,63,0.23,0.23,0.23,0.18,0,0.44,0.26,0.47,0.42,46,0.9,0.5,0,0.55,0.13,0.1,0.92
149215832,Clinical Psychologist,14,22,1168.794286,778.8014286,529.6385714,575.4842857,0,0,0,0,0,308,0,0,0.44,0.29,0,0,0.52,1,0.79,1.35,1.59,0.91,0.24,0.98,0.31,0.21,1.05
161021979,Licensed Clinical Social Worker,150,3.54,629.6466667,301.7652667,226.1194,223.7664667,0,0,0,0,0,531,11,1.59,18,26,14,28,22,32,21,53,72,30,14,31,0.88,0.72,2.23
921486980,Internal Medicine,193,1.056994819,1135.407254,215.8540933,169.9726425,169.1966321,0,0,0,0,0,204,12,11,17,20,15,26,17,33,31,51,65,32,10,46,7,9,1.35
329248355,Gastroenterology,284,18.52112676,2363.947183,865.5828521,677.8364789,675.198838,0,0,0,0,0,5260,26,36,24,14,39,48,37,46,41,67,75,50,13,45,13,15,2.12
634472092,Obstetrics/Gynecology,20,14.8,1867.5,953.47,698.075,701.2635,0,0,0,0,0,296,0.56,0.63,0.56,0.41,0.86,1.09,0.66,75,1.04,1.84,55,1.22,0.32,1.32,0.36,0.26,1.14
513578600,Emergency Medicine,15,1,137.5346667,55.01133333,43.12733333,50.35,0,0,0,0,0,15,0.08,0.08,0.08,0.06,0.12,0.16,0.1,0.17,0.15,75,0.32,0.18,0.05,0.19,0.04,0,0.78
448279431,Emergency Medicine,450,1.137777778,1515.417778,174.9177333,138.6536222,129.9055111,0,0,0,0,0,512,10,7,9,15,16,20,7,18,25,70,67,31,8,43,0,4,1.06
149023149,Internal Medicine,15,21.46666667,2693.333333,1390.453333,1007.556667,1012.742667,0,0,0,0,0,322,0.6,0,0,0,0.92,1.17,0.71,75,1.11,1.96,2.3,1.3,0.34,1.41,0.39,0.28,1.02
839794973,Internal Medicine,671,2.390461997,364.1460507,107.7132936,82.69706408,76.22709389,0,0,0,0,0,1604,12,6,14,20,16,27,13,27,30,53,64,30,8,34,3,4,1.31
373555863,Nurse Practitioner,605,1.441322314,362.3586777,113.7549917,77.20677686,74.61818182,0,0,0,0,0,872,11,8,14,11,13,18,9,19,21,59,60,27,13,37,2,5,1.07
325324537,Maxillofacial Surgery,17,25.94117647,4039.705882,1795.248235,1377.808824,1365.485294,0,0,0,0,0,441,0.68,0.78,0.69,0.51,1.06,1.34,0.81,75,1.28,2.26,2.65,1.5,0.39,1.62,0.44,0,1.68
545315111,Physician Assistant,57,6.929824561,892.3403509,443.5249123,335.3894737,331.7935088,0,0,0,0,0,395,0.76,58,26,0.59,37,42,28,75,33,58,75,35,0.45,49,33,0.35,2.2
303561580,Certified Clinical Nurse Specialist,411,1.01703163,451.3654501,89.57559611,72.18571776,72.72335766,0,0,0,0,0,418,10,5,16,15,14,24,18,31,35,68,69,26,6,42,3,5,1.25
249349090,CRNA,67,2.537313433,3249.552239,840.6823881,647.7638806,637.3159701,0,0,0,0,0,170,0.99,1.02,1.01,39,1.52,25,1.17,31,21,43,57,24,24,37,0.57,0.47,1.49
716948190,Neurology,19,1.210526316,503.6842105,143.7215789,112.6773684,118.0252632,0,0,0,0,0,23,0.12,0.12,0.13,0.09,0.18,0.24,0.14,0.26,58,75,75,0.27,0.07,0.29,0,0.06,1.23
516980256,Obstetrics/Gynecology,173,9.028901734,961.0982659,563.5256069,444.8169364,435.6463584,1.179190751,124.4624277,103.6687283,101.5388439,101.5388439,1358,20,9,13,6.52,17,20,14,29,26,62,71,23,10,34,2.66,2.6,1.26
522448441,Physical Therapist,1444,1.637119114,93.18490305,39.46502078,29.62811634,28.83709834,0,0,0,0,0,2364,12,18,21,11,25,34,22,45,34,41,64,32,9,37,14,6,1.6
934190481,Optometry,28,24,1496.147143,1109.524286,869.8042857,852.9003571,0,0,0,0,0,672,0.77,0.86,0.76,0.58,1.18,1.49,0.9,50,1.45,43,39,1.68,0.45,1.83,0.48,0,1.18
955586465,CRNA,658,2.496960486,451.745,225.4112006,175.6638906,171.9556231,0,0,0,0,0,1643,32,33,30,21,55,59,44,54,41,70,75,60,14,42,21,15,2.51
651731923,Mass Immunization Roster Biller,1067,5.989690722,575.5495783,262.2513777,210.4620993,206.1807779,0.66447985,33.85660731,28.83373946,27.52269916,27.52269916,5682,11,7,12,8,10,18,8,26,19,51,59,17,7,30,4,5,1.1
740516196,Anesthesiology,94,2.319148936,587.8962766,173.1175532,134.1491489,153.6640426,0,0,0,0,0,218,29,18,21,32,50,68,33,67,43,50,73,50,12,41,15,19,3.06
482243540,Psychiatry,225,1.04,695.5137778,141.7220889,113.6916,114.4127556,0,0,0,0,0,234,10,8,20,16,17,31,20,32,32,60,74,37,5,44,0.47,0.45,1.49
566172134,Infectious Disease,22,7.681818182,2282.630455,721.25,565.4581818,565.6736364,0,0,0,0,0,169,0,0.36,0.34,0,0,0,0,50,0.61,1.08,1.27,0,0,0.78,0.21,0.16,0.94
644785270,Internal Medicine,861,5.009291521,544.213705,436.5469686,318.7875261,323.1168757,0,0,0,0,0,4313,9,37,19,7,16,26,20,70,31,54,58,26,8,33,54,7,1.48
956647921,Registered Dietician/Nutrition Professional,34,29.91176471,1691.617647,866.8747059,633.955,626.4088235,0,0,0,0,0,1017,0,0.86,0.77,0.58,1.17,1.49,0.89,1.67,1.44,44,62,1.68,0.45,74,0,0,0.94
436007458,Obstetrics/Gynecology,2249,1.542907959,163.5264562,47.73404624,36.32263673,35.67232548,0,0,0,0,0,3470,24,23,21,19,39,45,31,39,33,62,75,47,13,45,12,12,1.92
159378927,Internal Medicine,74,4.986486486,950.652027,546.432973,395.8912162,396.9131081,0,0,0,0,0,369,1.39,1.5,1.4,1.05,19,2.69,1.63,23,19,38,51,31,0.81,34,0.85,0.65,1.15
370028610,Chiropractic,248,1.866935484,337.4395161,153.2882258,118.9264919,117.7189919,0,0,0,0,0,463,20,24,27,11,36,48,22,47,45,43,73,37,10,32,11,13,2.19
411676454,Chiropractic,346,3.378612717,360.367052,210.9683237,154.3786705,150.4049422,0.10982659,0.933526012,0.207774566,0.155028902,0.155028902,1131,14,13,14,11,16,23,13,29,33,47,62,25,10,41,7,5,1.43
822432009,Interventional Cardiology,18,15.88888889,2271.111111,1039.787778,794.6194444,787.8977778,0,0,0,0,0,286,0.46,0.51,0.46,0.35,0.71,0.89,0.54,75,0.86,1.52,72,1,0.27,1.09,0.29,0.22,1.54
843817425,Family Practice,221,8.271493213,1268.633575,519.2144796,386.890181,383.0395475,0.778280543,63.92307692,33.23266968,30.69900452,30.70402715,1656,17,7,8,11,15,33,8,16,29,75,75,46,12,34,2.22,5,1.14
153798843,Internal Medicine,263,1.197718631,292.5057034,85.92688213,57.85836502,55.7161597,0,0,0,0,0,315,11,11,11,10,15,19,6,23,18,47,63,29,14,39,0.61,4,1.08
275007577,Optometry,399,3.71679198,490.8095238,269.9628822,222.6030326,208.7816792,0.335839599,13.10025063,6.650225564,6.516165414,6.516165414,1349,14,22,8,11,18,20,9,17,23,27,47,29,7,33,8,6,1.18
258535892,Orthopedic Surgery,18,1.888888889,423.3333333,169.135,120.5072222,116.2122222,0,0,0,0,0,34,0,0,0.13,0,0.19,0.25,0.15,0.26,0.25,0.46,0.54,0.29,0.08,0.33,0.06,0.06,1.55
169708518,Gastroenterology,17,1.058823529,823.8588235,168.4652941,132.0764706,131.3658824,0,0,0,0,0,18,0.09,0.08,0.09,0.07,0.13,0.17,0.1,0.17,0.16,65,75,0.19,0.05,0.22,0.04,0.04,2.4
373388397,Diagnostic Radiology,229,3.746724891,556.5327511,241.0870306,186.1531004,183.4568996,0.703056769,51.00436681,30.38318777,28.87340611,28.87340611,697,7,9,25,8,14,23,12,31,45,49,63,24,6,38,1.33,1.27,1.22
